accepted_bin,obs_value,LAT,LON,TraitID,trait_short
Nothofagus pumilio,0.5071826222807099,-46.06,-72.05,4,Wood density
Acmopyle pancheri,0.59673768693396,-42.9,147.32,4,Wood density
Atherosperma moschatum,0.52268381509565,-42.9,147.32,4,Wood density
Callitris rhomboidea,0.57018043589694,-42.9,147.32,4,Wood density
Dacrycarpus dacrydioides,0.44118345493006,-42.9,147.32,4,Wood density
Dacrycarpus imbricatus,0.57794435146172,-42.9,147.32,4,Wood density
Hakea sericea,0.60663548830394,-42.9,147.32,4,Wood density
Lagarostrobos franklinii,0.70458692153652,-42.9,147.32,4,Wood density
Nothofagus pumilio,0.5048762030284887,-40.78,-72.18,4,Wood density
Agathis australis,0.45463973073402436,-37.42,175.72,4,Wood density
Nothofagus pumilio,0.5596920292045813,-36.9,-71.4,4,Wood density
Dacrydium cupressinum,0.5487512237394601,-35.11,176.2,4,Wood density
Phyllocladus trichomanoides,0.72316666666667,-34.42,175.72,4,Wood density
Prumnopitys ferruginea,0.7153051827328247,-34.42,175.72,4,Wood density
Protea laurifolia,0.5247,-33.93,19.52,4,Wood density
Protea repens,0.5792,-33.93,19.52,4,Wood density
Searsia undulata,0.764,-33.93,19.52,4,Wood density
Allocasuarina campestris,1.0073,-32.31,117.86,4,Wood density
Banksia sphaerocarpa,0.7861,-32.31,117.86,4,Wood density
Eucalyptus albida,0.9523,-32.31,117.86,4,Wood density
Eucalyptus capillosa,0.8708,-32.31,117.86,4,Wood density
Eucalyptus salmonophloia,0.7925,-32.31,117.86,4,Wood density
Nuytsia floribunda,0.6322,-32.31,117.86,4,Wood density
Santalum acuminatum,0.9131,-32.31,117.86,4,Wood density
Allophylus natalensis,0.6556533332278325,-28.72,32.18,4,Wood density
Apodytes dimidiata,0.512047012732615,-28.72,32.18,4,Wood density
Brachylaena discolor,0.5807073794146621,-28.72,32.18,4,Wood density
Canthium inerme,0.5157978045004702,-28.72,32.18,4,Wood density
Celtis africana,0.6591568949138075,-28.72,32.18,4,Wood density
Cordia caffra,0.5610793078496112,-28.72,32.18,4,Wood density
Ekebergia capensis,0.539069767441861,-28.72,32.18,4,Wood density
Gymnosporia arenicola,0.608844372319888,-28.72,32.18,4,Wood density
Mimusops caffra,0.6309022036099127,-28.72,32.18,4,Wood density
Peddiea africana,0.61520618556701,-28.72,32.18,4,Wood density
Psydrax obovata,0.716896120150188,-28.72,32.18,4,Wood density
Sideroxylon inerme,0.6586578764348924,-28.72,32.18,4,Wood density
Trichilia emetica,0.5499579801596197,-28.72,32.18,4,Wood density
Turraea floribunda,0.664024390243902,-28.72,32.18,4,Wood density
