,accepted_bin
0,Abies amabilis
1,Abies balsamea
2,Abies alba
3,Abies beshanzuensis
4,Abies bracteata
5,Abies cephalonica
6,Abies chensiensis
7,Abies cilicica
8,Abies concolor
9,Abies delavayi
10,Abies densa
11,Abies durangensis
12,Abies fabri
13,Abies fanjingshanensis
14,Abies fargesii
15,Abies firma
16,Abies forrestii
17,Abies fraseri
18,Abies grandis
19,Abies guatemalensis
20,Abies hickelii
21,Abies hidalgensis
22,Abies holophylla
23,Abies homolepis
24,Abies kawakamii
25,Abies koreana
26,Abies lasiocarpa
27,Abies magnifica
28,Abies mariesii
29,Abies nebrodensis
30,Abies nephrolepis
31,Abies nordmanniana
32,Abies numidica
33,Abies pindrow
34,Abies pinsapo
35,Abies procera
36,Abies recurvata
37,Abies religiosa
38,Abies sachalinensis
39,Abies sibirica
40,Picea smithiana
41,Abies spectabilis
42,Abies squamata
43,Abies veitchii
44,Abies vejarii
45,Abies yuanbaoshanensis
46,Abies ziyuanensis
47,Picea alcoquiana
48,Picea glauca
49,Cunninghamia lanceolata
50,Picea abies
51,Tsuga dumosa
52,Picea mariana
53,Pseudotsuga menziesii
54,Picea maximowiczii
55,Picea torano
56,Tsuga mertensiana
57,Picea orientalis
58,Acmopyle pancheri
59,Acmopyle sahniana
60,Afrocarpus dawei
61,Afrocarpus falcatus
62,Afrocarpus gracilior
63,Afrocarpus mannii
64,Afrocarpus usambarensis
65,Agathis atropurpurea
66,Agathis australis
67,Agathis borneensis
68,Agathis dammara
69,Agathis flavescens
70,Agathis kinabaluensis
71,Agathis labillardierei
72,Agathis lanceolata
73,Agathis lenticula
74,Agathis macrophylla
75,Agathis microstachya
76,Agathis montana
77,Agathis moorei
78,Agathis orbicula
79,Agathis ovata
80,Agathis robusta
81,Agathis silbae
82,Amentotaxus argotaenia
83,Amentotaxus formosana
84,Amentotaxus poilanei
85,Amentotaxus yunnanensis
86,Araucaria angustifolia
87,Araucaria araucana
88,Araucaria bernieri
89,Araucaria bidwillii
90,Araucaria biramulata
91,Araucaria columnaris
92,Araucaria cunninghamii
93,Araucaria heterophylla
94,Araucaria humboldtensis
95,Araucaria hunsteinii
96,Araucaria laubenfelsii
97,Araucaria luxurians
98,Araucaria montana
99,Araucaria muelleri
100,Araucaria nemorosa
101,Araucaria rulei
102,Araucaria schmidii
103,Araucaria scopulorum
104,Araucaria subulata
105,Juniperus drupacea
106,Athrotaxis cupressoides
107,Athrotaxis selaginoides
108,Austrocedrus chilensis
109,Austrotaxus spicata
110,Phyllocladus aspleniifolius
111,Callitris baileyi
112,Callitris canescens
113,Callitris columellaris
114,Callitris drummondii
115,Callitris endlicheri
116,Callitris macleayana
117,Callitris monticola
118,Callitris muelleri
119,Callitris neocaledonica
120,Callitris oblonga
121,Callitris preissii
122,Callitris rhomboidea
123,Callitris roei
124,Callitris sulcata
125,Callitris verrucosa
126,Widdringtonia wallichii
127,Widdringtonia whytei
128,Cupressus nootkatensis
129,Cupressus guadalupensis
130,Calocedrus decurrens
131,Calocedrus formosana
132,Calocedrus macrolepis
133,Calocedrus rupestris
134,Cathaya argyrophylla
135,Cedrus atlantica
136,Cedrus deodara
137,Cedrus libani
138,Cephalotaxus fortunei
139,Cephalotaxus mannii
140,Cephalotaxus hainanensis
141,Cephalotaxus harringtonii
142,Cephalotaxus lanceolata
143,Cephalotaxus latifolia
144,Cephalotaxus sinensis
145,Chamaecyparis formosensis
146,Chamaecyparis lawsoniana
147,Chamaecyparis obtusa
148,Chamaecyparis pisifera
149,Chamaecyparis thyoides
150,Fokienia hodginsii
151,Dacrydium novoguineense
152,Cryptomeria japonica
153,Cupressus macrocarpa
154,Cupressus arizonica
155,Cupressus bakeri
156,Cupressus cashmeriana
157,Cupressus chengiana
158,Cupressus duclouxiana
159,Cupressus dupreziana
160,Cupressus funebris
161,Cupressus gigantea
162,Cupressus goveniana
163,Cupressus lusitanica
164,Cupressus macnabiana
165,Cupressus sargentii
166,Cupressus sempervirens
167,Cupressus tonkinensis
168,Cupressus torulosa
169,Juniperus occidentalis
170,Juniperus phoenicea
171,Platycladus orientalis
172,Tetraclinis articulata
173,Dacrycarpus cinctus
174,Dacrycarpus compactus
175,Dacrycarpus cumingii
176,Dacrycarpus dacrydioides
177,Dacrycarpus expansus
178,Dacrycarpus imbricatus
179,Dacrycarpus kinabaluensis
180,Dacrycarpus steupii
181,Dacrycarpus vieillardii
182,Dacrydium balansae
183,Dacrydium beccarii
184,Dacrydium cornwallianum
185,Dacrydium cupressinum
186,Dacrydium elatum
187,Dacrydium ericoides
188,Dacrydium gibbsiae
189,Dacrydium gracile
190,Dacrydium leptophyllum
191,Dacrydium lycopodioides
192,Dacrydium magnum
193,Dacrydium medium
194,Dacrydium nausoriense
195,Dacrydium nidulum
196,Dacrydium pectinatum
197,Dacrydium spathoides
198,Dacrydium xanthandrum
199,Prumnopitys taxifolia
200,Retrophyllum rospigliosii
201,Diselma archeri
202,Falcatifolium angustum
203,Falcatifolium falciforme
204,Falcatifolium gruezoi
205,Falcatifolium papuanum
206,Falcatifolium taxoides
207,Fitzroya cupressoides
208,Ginkgo biloba
209,Glyptostrobus pensilis
210,Gnetum arboreum
211,Gnetum costatum
212,Gnetum gnemon
213,Halocarpus biformis
214,Halocarpus kirkii
215,Juniperus angosturana
216,Juniperus arizonica
217,Juniperus ashei
218,Juniperus barbadensis
219,Juniperus bermudiana
220,Juniperus blancoi
221,Juniperus brevifolia
222,Juniperus californica
223,Juniperus cedrus
224,Juniperus chinensis
225,Juniperus coahuilensis
226,Juniperus comitana
227,Juniperus communis
228,Juniperus convallium
229,Juniperus coxii
230,Juniperus deppeana
231,Juniperus durangensis
232,Juniperus excelsa
233,Juniperus flaccida
234,Juniperus formosana
235,Juniperus gracilior
236,Juniperus grandis
237,Juniperus indica
238,Juniperus jaliscana
239,Juniperus komarovii
240,Juniperus monosperma
241,Juniperus monticola
242,Juniperus morrisonicola
243,Juniperus mucronata
244,Juniperus osteosperma
245,Juniperus oxycedrus
246,Juniperus pinchotii
247,Juniperus pingii
248,Juniperus polycarpos
249,Juniperus procera
250,Juniperus przewalskii
251,Juniperus pseudosabina
252,Juniperus recurva
253,Juniperus rigida
254,Juniperus saltillensis
255,Juniperus saltuaria
256,Juniperus saxicola
257,Juniperus scopulorum
258,Juniperus semiglobosa
259,Juniperus standleyi
260,Juniperus taxifolia
261,Juniperus thurifera
262,Juniperus tibetica
263,Juniperus virginiana
264,Pilgerodendron uviferum
265,Keteleeria davidiana
