accepted_bin,Bark thickness,Leaf K per mass,Leaf N per mass,Leaf P per mass,Leaf Vcmax per dry mass,Leaf area,Leaf density,Leaf thickness,Seed dry mass,Specific leaf area,Stem conduit diameter,Stomatal conductance,Wood density
Abarema barbouriana,2.0117123885969903,2.108833141804052,3.0336165842924143,0.21347081341988552,-0.9589589057895562,8.72193128055884,-1.3112076553608527,-1.4365787446568634,3.6152488294148792,2.512429301412662,3.2439882292159417,5.487233730514548,-0.907758263904034
Abarema brachystachya,1.479053587640022,2.4100583397033124,3.414442608412176,0.3068349464949917,-1.0075254451803306,7.868116666712693,-1.0123171801737125,-1.56060749968032,4.227817237359099,2.6961365182136787,3.327832650576326,5.149905669795445,-0.6201710214824738
Abarema jupunba,1.8984292035403527,1.028761906767029,3.2655658963201097,-0.3482928944555921,-1.111217460317293,8.505472777506101,-1.0024233890546523,-1.534857884094974,5.0276248814143205,2.713957343038623,3.40394030315355,5.0478229467916345,-0.5189080511845818
Abarema laeta,0.9337884190375991,2.7024080547465643,3.885377373898037,0.10320424325830331,-0.6910993116866717,7.143489820823197,-1.1789557398541006,-1.8488921600724153,4.199674809026373,3.039839174998801,3.608762645351222,5.538762475536199,-0.4484596981542073
Abarema macradenia,1.7172044095555925,2.2817070742848915,3.1525184307435983,0.029009772896714952,-1.326948629586423,9.713234625415891,-0.5034803448056157,-1.5371172508544746,4.499809670330265,2.118550337266764,3.1858561529044898,4.686996319262259,-0.8247796184836259
Abarema mataybifolia,1.791759469228055,1.279822116609374,3.363234724359316,-0.1294607266074937,-1.0032832817652946,8.523734258585424,-0.8809441519016091,-1.2087122455460122,4.731911554045451,2.52083755111394,3.366531686931295,5.292720772431816,-0.7311166445333699
Abarema microcalyx,1.6953670339303186,2.127446706274006,2.8507065015037334,-0.025758898941453987,-1.3320962736083033,7.052822092390429,-1.1177382417008725,-0.8000340051804005,3.819907716520341,2.4094634022083885,2.950550670806936,5.211046549338618,-0.5912320488172136
Abarema piresii,1.3790305320671716,1.6721026306392621,3.144077956858675,-0.4155154439616658,-1.107303128385552,9.052231493936132,-1.0680175491688988,-1.6360700140496283,4.146481734476849,2.7914550860424607,3.3382184200311302,5.196076148411313,-0.5530400558916594
Abatia parviflora,1.1122145723969494,2.5083227699462087,3.1884229942160345,0.6148202755372569,-0.6302003952126577,7.746261446530979,-1.0102299347231694,-1.4696759700589417,3.6884770096566286,2.6336862319282655,3.3865831747391906,5.370025714311221,-0.5173009075611525
Abies alba,1.5528017804455672,1.9578938566915944,2.480256926229172,0.1533800496545137,-1.5469379302236137,2.6619381587748,-1.478062666954361,-0.6330040859355236,3.945926425420698,1.859745202752679,2.8050866822580827,4.851766007210694,-0.6825450072176003
Abies amabilis,2.0149030205422647,2.369908926056181,2.421117640702599,0.175568720185527,-1.351141472351069,5.656054173108983,-1.2935482926038024,-1.4980325523900098,3.792282677951436,2.479412188414834,3.2686360596228345,4.9668872531380055,-0.8918956497894391
Abies balsamea,2.0149030205422647,1.5492916513659578,2.6618391393403744,0.1765879337453705,-0.8917918993914608,3.5323061911169567,-0.85809620046359,-1.3930557408018578,1.9586630594584944,2.0820552932304497,2.9800327080826405,3.980170762984222,-0.7692454582408149
Abies bracteata,2.0149030205422647,1.8366931559612516,2.893396571384291,0.1230031897256924,-1.147951076585263,7.908598946093743,-0.9788235434004747,-1.533229347942413,3.575430761606357,2.252617921473985,3.17659255047773,5.306924472251109,-0.7043009497894304
Abies cephalonica,2.0149030205422647,2.0837868404327713,2.5329088414049004,-0.12868032782324026,-1.605135159672899,5.6183945075026624,-1.0166760821053975,-0.7644131602260426,4.268717949166882,1.8706007439980965,3.0792512553411973,5.071770390160795,-0.6240462161002646
Abies chensiensis,2.0149030205422647,1.6575968960622436,2.5215783539317247,0.22775113247539297,-1.2696923470913304,6.708373944320258,-1.0443610569126833,-1.0071793936507727,2.5005775465483415,2.0678951452007124,2.91750640544907,4.962959711556533,-0.8546672946126105
Abies cilicica,2.0149030205422647,1.808914857320645,2.960604859897305,0.05799121372066775,-0.9634894250469209,8.324220618615168,-1.0606283253680597,-1.5800006786387804,4.748231028828744,2.6161835086162557,3.2772363438060976,5.333866369138879,-0.8400373464602968
Abies concolor,2.2651139348057088,2.339852982848431,2.549763938059604,0.2225292503121158,-1.4957391532242623,1.6094379124341005,-1.4267635878310407,-0.5298224274193172,3.290691794277278,1.4629475212502432,2.989478259504758,4.734575329670949,-0.9111577614597368
Abies delavayi,2.0149030205422647,2.111431451463293,2.8489336533999947,0.21798762127575783,-1.0995276090896733,8.391731814706267,-1.1421633982861121,-1.3037735029318325,2.847481900737193,2.4466163259057354,3.243886286433941,5.013414249020559,-0.8419095481027518
