,N_components,BIC
0,10.0,1951206.1513190507
1,11.0,1947539.5453697722
2,12.0,1942406.7045740806
3,13.0,1939380.3845717532
4,14.0,1934616.0408843614
5,15.0,1932113.475623447
6,16.0,1931378.9952863504
7,17.0,1929346.1483485764
8,18.0,1926662.5580715276
9,19.0,1924774.3289294352
10,20.0,1924812.705645359
11,21.0,1921219.791241369
12,22.0,1920649.617511152
13,23.0,1919947.0422837818
14,24.0,1918567.5437868102
15,25.0,1918127.6786110704
16,26.0,1917412.7399697863
17,27.0,1917024.2804072127
18,28.0,1916029.8784185036
19,29.0,1919116.1693094966
20,30.0,1915309.3084926875
21,31.0,1914797.0854111365
22,32.0,1914235.360208939
23,33.0,1913153.7424031366
24,34.0,1914117.3307854652
25,35.0,1914224.213011295
26,36.0,1913278.338426392
27,37.0,1913352.4380232773
28,38.0,1913077.6272554283
29,39.0,1912778.4194877166
30,40.0,1913748.870208122
31,41.0,1912566.6615431437
32,42.0,1914451.6860244223
33,43.0,1913919.6179364366
34,44.0,1913410.2213817323
35,45.0,1913942.1409771957
36,46.0,1913688.9183689482
37,47.0,1913913.910956955
38,48.0,1915144.8783669085
39,49.0,1914994.0613664791
40,50.0,1914655.6524926394
41,51.0,1916750.2300301315
42,52.0,1916174.7687427013
43,53.0,1916437.7191985166
44,54.0,1917140.3245252054
45,55.0,1921050.5105452745
46,56.0,1921723.745477399
47,57.0,1922996.3637213379
48,58.0,1921006.7064486982
49,59.0,1922913.6715559785
50,60.0,1924622.7805850257
